gene	chromosome	start	end	bin	TAD
IDI2	chr10	1025859	1025860	19670376	hg38_H1_1790
GTPBP4	chr10	988408	988409	19670002	hg38_H1_1790
RP11-363N22.2	chr10	933025	933026	19669448	hg38_H1_1790
N/A	chr10	1022636	1022637	19670344	hg38_H1_1790
IDI2-AS1	chr10	1022636	1022637	19670344	hg38_H1_1790
IDI2-AS1	chr10	1022636	1022637	19670344	hg38_H1_1790
WDR37	chr10	1056835	1056836	19670686	
LINC00200	chr10	1159767	1159768	19671715	hg38_H1_1791
ADARB2-AS1	chr10	1526629	1526630	19675384	hg38_H1_1791
MIR6072	chr10	2076089	2076090	19680878	hg38_H1_1791
LINC00700	chr10	2014348	2014349	19680261	hg38_H1_1791
N/A	chr10	2315074	2315075	19683268	hg38_H1_1791
PFKP	chr10	3068626	3068627	19690804	hg38_H1_1791
PFKP	chr10	3067519	3067520	19690793	hg38_H1_1791
KLF6	chr10	3785281	3785282	19697970	hg38_H1_1792
N/A	chr10	3785281	3785282	19697970	hg38_H1_1792
KLF6	chr10	3785281	3785282	19697970	hg38_H1_1792
N/A	chr10	3785281	3785282	19697970	hg38_H1_1792
MIR6078	chr10	3991159	3991160	19700029	hg38_H1_1792
N/A	chr10	4243912	4243913	19702557	hg38_H1_1792
N/A	chr10	4384245	4384246	19703960	hg38_H1_1792
LINC00703	chr10	4406468	4406469	19704182	hg38_H1_1792
N/A	chr10	4384245	4384246	19703960	hg38_H1_1792
LINC00704	chr10	4678070	4678071	19706898	hg38_H1_1792
N/A	chr10	4656155	4656156	19706679	hg38_H1_1792
AKR1E2	chr10	4826176	4826177	19708379	hg38_H1_1793
AKR1E2	chr10	4826176	4826177	19708379	hg38_H1_1793
AKR1E2	chr10	4826176	4826177	19708379	hg38_H1_1793
N/A	chr10	4826176	4826177	19708379	hg38_H1_1793
N/A	chr10	4826176	4826177	19708379	hg38_H1_1793
N/A	chr10	4826176	4826177	19708379	hg38_H1_1793
AKR1C1	chr10	4963261	4963262	19709750	hg38_H1_1793
N/A	chr10	4916273	4916274	19709280	hg38_H1_1793
N/A	chr10	5094375	5094376	19711061	hg38_H1_1793
AKR1C3	chr10	5048765	5048766	19710605	hg38_H1_1793
N/A	chr10	5018033	5018034	19710298	hg38_H1_1793
AKR1C3	chr10	5094375	5094376	19711061	hg38_H1_1793
AKR1C2	chr10	5004014	5004015	19710158	hg38_H1_1793
AKR1C2	chr10	5018033	5018034	19710298	hg38_H1_1793
AKR1C4	chr10	5196834	5196835	19712086	hg38_H1_1793
N/A	chr10	5185187	5185188	19711969	hg38_H1_1793
TUBAL3	chr10	5404830	5404831	19714166	hg38_H1_1793
NET1	chr10	5446550	5446551	19714583	
TUBAL3	chr10	5404830	5404831	19714166	hg38_H1_1793
CALML5	chr10	5499570	5499571	19715113	
NET1	chr10	5412550	5412551	19714243	
N/A	chr10	5446550	5446551	19714583	
N/A	chr10	5526246	5526247	19715380	
N/A	chr10	5526246	5526247	19715380	
CALML3	chr10	5524888	5524889	19715366	
ASB13	chr10	5666595	5666596	19716783	
ASB13	chr10	5666595	5666596	19716783	
FAM208B	chr10	5684837	5684838	19716966	
N/A	chr10	5666595	5666596	19716783	
ANKRD16	chr10	5889897	5889898	19719016	hg38_H1_1794
ANKRD16	chr10	5889897	5889898	19719016	hg38_H1_1794
ANKRD16	chr10	5889897	5889898	19719016	hg38_H1_1794
IL15RA	chr10	5978187	5978188	19719899	hg38_H1_1794
IL15RA	chr10	5977611	5977612	19719894	hg38_H1_1794
N/A	chr10	5978187	5978188	19719899	hg38_H1_1794
IL15RA	chr10	5977611	5977612	19719894	hg38_H1_1794
IL15RA	chr10	5977611	5977612	19719894	hg38_H1_1794
MIR3155A	chr10	6152195	6152196	19721639	hg38_H1_1794
N/A	chr10	6152262	6152263	19721640	hg38_H1_1794
RBM17	chr10	6089345	6089346	19721011	hg38_H1_1794
RBM17	chr10	6088985	6088986	19721007	hg38_H1_1794
PFKFB3	chr10	6202876	6202877	19722146	hg38_H1_1794
RP11-563J2.2	chr10	6326543	6326544	19723383	hg38_H1_1794
N/A	chr10	6635069	6635070	19726468	hg38_H1_1795
N/A	chr10	6618715	6618716	19726305	hg38_H1_1795
N/A	chr10	6580424	6580425	19725922	hg38_H1_1795
N/A	chr10	6580424	6580425	19725922	hg38_H1_1795
LINC00706	chr10	6779180	6779181	19727909	hg38_H1_1795
ATP5C1	chr10	7788129	7788130	19737999	
KIN	chr10	7788027	7788028	19737998	
N/A	chr10	7788027	7788028	19737998	
ATP5C1	chr10	7788129	7788130	19737999	
N/A	chr10	8053422	8053423	19740652	hg38_H1_1797
N/A	chr10	8052491	8052492	19740642	hg38_H1_1797
GATA3-AS1	chr10	8052495	8052496	19740642	hg38_H1_1797
N/A	chr10	8053449	8053450	19740652	hg38_H1_1797
GATA3-AS1	chr10	8053484	8053485	19740652	hg38_H1_1797
GATA3-AS1	chr10	8052495	8052496	19740642	hg38_H1_1797
GATA3	chr10	8054703	8054704	19740665	hg38_H1_1797
GATA3	chr10	8054703	8054704	19740665	hg38_H1_1797
LINC00708	chr10	8268305	8268306	19742801	hg38_H1_1797
N/A	chr10	9275612	9275613	19752874	hg38_H1_1797
N/A	chr10	9295593	9295594	19753073	hg38_H1_1797
RP5-933E2.1	chr10	10058721	10058722	19760705	hg38_H1_1798
RP11-271F18.4	chr10	10462349	10462350	19764741	hg38_H1_1798
SFTA1P	chr10	10794914	10794915	19768067	hg38_H1_1798
N/A	chr10	10952163	10952164	19769639	hg38_H1_1798
N/A	chr10	10952163	10952164	19769639	hg38_H1_1798
N/A	chr10	10952163	10952164	19769639	hg38_H1_1798
N/A	chr10	11105488	11105489	19771172	hg38_H1_1798
CELF2-AS1	chr10	11344674	11344675	19773564	hg38_H1_1798
USP6NL	chr10	11532280	11532281	19775440	hg38_H1_1799
USP6NL	chr10	11611789	11611790	19776235	hg38_H1_1799
ECHDC3	chr10	11742356	11742357	19777541	hg38_H1_1799
PROSER2	chr10	11823397	11823398	19778351	hg38_H1_1800
PROSER2-AS1	chr10	11894710	11894711	19779065	hg38_H1_1800
SEC61A2	chr10	12129640	12129641	19781414	
DHTKD1	chr10	12068916	12068917	19780807	
MIR548AK	chr10	12130816	12130817	19781426	
SEC61A2	chr10	12129640	12129641	19781414	
SEC61A2	chr10	12129640	12129641	19781414	
N/A	chr10	12129640	12129641	19781414	
SEC61A2	chr10	12129640	12129641	19781414	
CDC123	chr10	12195961	12195962	19782077	
MIR4480	chr10	12578752	12578753	19785905	hg38_H1_1801
N/A	chr10	12653197	12653198	19786649	hg38_H1_1801
MIR548Q	chr10	12725353	12725354	19787371	hg38_H1_1801
RNU6-7	chr10	13217268	13217269	19792290	hg38_H1_1801
MCM10	chr10	13161553	13161554	19791733	hg38_H1_1801
UCMA	chr10	13234328	13234329	19792461	hg38_H1_1801
MCM10	chr10	13161553	13161554	19791733	hg38_H1_1801
N/A	chr10	13217268	13217269	19792290	hg38_H1_1801
N/A	chr10	13217268	13217269	19792290	hg38_H1_1801
N/A	chr10	13234328	13234329	19792461	hg38_H1_1801
N/A	chr10	13234328	13234329	19792461	hg38_H1_1801
RNU6-8	chr10	13217268	13217269	19792290	hg38_H1_1801
RNU6-1RNU6-9RNU6-2RNU6-5PRNU6-4PRNU6-3P	chr10	13217268	13217269	19792290	hg38_H1_1801
PHYH	chr10	13300130	13300131	19793119	hg38_H1_1801
SEPHS1	chr10	13348298	13348299	19793600	hg38_H1_1801
PHYH	chr10	13299746	13299747	19793115	hg38_H1_1801
SEPHS1	chr10	13348298	13348299	19793600	hg38_H1_1801
SEPHS1	chr10	13348298	13348299	19793600	hg38_H1_1801
PRPF18	chr10	13586938	13586939	19795987	hg38_H1_1803
N/A	chr10	14074283	14074284	19800860	hg38_H1_1803
MIR4293	chr10	14383277	14383278	19803950	hg38_H1_1803
MIR1265	chr10	14436575	14436576	19804483	hg38_H1_1803
SUV39H2	chr10	14878865	14878866	19808906	hg38_H1_1804
SUV39H2	chr10	14878782	14878783	19808905	hg38_H1_1804
N/A	chr10	14878865	14878866	19808906	hg38_H1_1804
HSPA14	chr10	14838159	14838160	19808499	hg38_H1_1804
HSPA14	chr10	14838159	14838160	19808499	hg38_H1_1804
SUV39H2	chr10	14878782	14878783	19808905	hg38_H1_1804
N/A	chr10	14878782	14878783	19808905	hg38_H1_1804
SUV39H2	chr10	14878899	14878900	19808906	hg38_H1_1804
CDNF	chr10	14837984	14837985	19808497	hg38_H1_1804
N/A	chr10	14838159	14838160	19808499	hg38_H1_1804
MEIG1	chr10	14959438	14959439	19809712	hg38_H1_1804
N/A	chr10	15155347	15155348	19811671	
N/A	chr10	15097179	15097180	19811089	hg38_H1_1804
NMT2	chr10	15168696	15168697	19811804	
ACBD7	chr10	15088776	15088777	19811005	hg38_H1_1804
N/A	chr10	15097319	15097320	19811091	hg38_H1_1804
RPP38	chr10	15097179	15097180	19811089	hg38_H1_1804
RPP38	chr10	15097179	15097180	19811089	hg38_H1_1804
RPP38	chr10	15097179	15097180	19811089	hg38_H1_1804
N/A	chr10	15168710	15168711	19811805	
PTER	chr10	16436942	16436943	19824487	hg38_H1_1806
PTER	chr10	16436942	16436943	19824487	hg38_H1_1806
N/A	chr10	16436942	16436943	19824487	hg38_H1_1806
PTER	chr10	16436942	16436943	19824487	hg38_H1_1806
PTER	chr10	16436942	16436943	19824487	hg38_H1_1806
N/A	chr10	17229985	17229986	19832417	hg38_H1_1807
VIM-AS1	chr10	17226898	17226899	19832386	hg38_H1_1807
VIM	chr10	17228258	17228259	19832400	hg38_H1_1807
ST8SIA6-AS1	chr10	17386935	17386936	19833987	hg38_H1_1807
PTPLA	chr10	17617374	17617375	19836291	hg38_H1_1807
STAM-AS1	chr10	17643918	17643919	19836557	hg38_H1_1807
TMEM236	chr10	17752260	17752261	19837640	hg38_H1_1807
MIR511	chr10	17845106	17845107	19838569	
SLC39A12-AS1	chr10	18010562	18010563	19840223	hg38_H1_1808
ARL5B	chr10	18659383	18659384	19846711	hg38_H1_1809
RP11-354E11.2	chr10	19728550	19728551	19857403	hg38_H1_1809
MIR4675	chr10	20551969	20551970	19865637	hg38_H1_1809
C10ORF113	chr10	21146559	21146560	19871583	hg38_H1_1810
C10ORF113	chr10	21146559	21146560	19871583	hg38_H1_1810
N/A	chr10	21174301	21174302	19871861	hg38_H1_1810
N/A	chr10	21173989	21173990	19871857	hg38_H1_1810
RNU6-15P	chr10	21321960	21321961	19873337	hg38_H1_1810
SKIDA1	chr10	21525682	21525683	19875374	hg38_H1_1810
MLLT10	chr10	21534171	21534172	19875459	hg38_H1_1810
N/A	chr10	21534171	21534172	19875459	hg38_H1_1810
MLLT10	chr10	21534171	21534172	19875459	hg38_H1_1810
MIR1915	chr10	21496641	21496642	19875084	hg38_H1_1810
N/A	chr10	22252071	22252072	19882638	hg38_H1_1811
EBLN1	chr10	22209983	22209984	19882217	hg38_H1_1811
COMMD3	chr10	22316382	22316383	19883281	hg38_H1_1811
BMI1	chr10	22321209	22321210	19883330	hg38_H1_1811
COMMD3-BMI1	chr10	22316382	22316383	19883281	hg38_H1_1811
N/A	chr10	22437929	22437930	19884497	hg38_H1_1811
MSRB2	chr10	23095497	23095498	19891072	hg38_H1_1811
PTF1A	chr10	23192530	23192531	19892043	hg38_H1_1812
LINC01552	chr10	23239792	23239793	19892515	hg38_H1_1812
MIR1254-2	chr10	23393404	23393405	19894052	hg38_H1_1812
OTUD1	chr10	23439268	23439269	19894510	hg38_H1_1812
MIR603	chr10	24275684	24275685	19902874	hg38_H1_1812
THNSL1	chr10	25016578	25016579	19910283	hg38_H1_1813
ENKUR	chr10	25016156	25016157	19910279	hg38_H1_1813
N/A	chr10	25016156	25016157	19910279	hg38_H1_1813
N/A	chr10	25016156	25016157	19910279	hg38_H1_1813
N/A	chr10	25113057	25113058	19911248	hg38_H1_1813
LINC00836	chr10	25651711	25651712	19916635	hg38_H1_1813
N/A	chr10	25933710	25933711	19919455	hg38_H1_1814
GAD2	chr10	26216306	26216307	19922281	hg38_H1_1814
GAD2	chr10	26216306	26216307	19922281	hg38_H1_1814
LINC00264	chr10	26589864	26589865	19926016	hg38_H1_1814
N/A	chr10	26643107	26643108	19926549	hg38_H1_1814
ABI1	chr10	26861087	26861088	19928728	hg38_H1_1814
ABI1	chr10	26861087	26861088	19928728	hg38_H1_1814
ABI1	chr10	26861087	26861088	19928728	hg38_H1_1814
ABI1	chr10	26861087	26861088	19928728	hg38_H1_1814
ABI1	chr10	26861087	26861088	19928728	hg38_H1_1814
N/A	chr10	26861087	26861088	19928728	hg38_H1_1814
ABI1	chr10	26861087	26861088	19928728	hg38_H1_1814
ABI1	chr10	26861087	26861088	19928728	hg38_H1_1814
ABI1	chr10	26861087	26861088	19928728	hg38_H1_1814
ABI1	chr10	26861087	26861088	19928728	hg38_H1_1814
ABI1	chr10	26861087	26861088	19928728	hg38_H1_1814
ABI1	chr10	26861087	26861088	19928728	hg38_H1_1814
LINC00202-1	chr10	26942001	26942002	19929538	hg38_H1_1814
N/A	chr10	27100498	27100499	19931122	hg38_H1_1814
ANKRD26	chr10	27100498	27100499	19931122	hg38_H1_1814
ACBD5	chr10	27240879	27240880	19932526	
MASTL	chr10	27154823	27154824	19931666	
MASTL	chr10	27154823	27154824	19931666	
ACBD5	chr10	27240879	27240880	19932526	
ACBD5	chr10	27242139	27242140	19932539	
N/A	chr10	27240879	27240880	19932526	
ACBD5	chr10	27242139	27242140	19932539	
N/A	chr10	27240879	27240880	19932526	
N/A	chr10	27242139	27242140	19932539	
MASTL	chr10	27154823	27154824	19931666	
N/A	chr10	27252306	27252307	19932641	
PTCHD3	chr10	27414368	27414369	19934261	hg38_H1_1815
N/A	chr10	27744614	27744615	19937564	hg38_H1_1815
N/A	chr10	27745849	27745850	19937576	hg38_H1_1815
MKX	chr10	27745849	27745850	19937576	hg38_H1_1815
MIR8086	chr10	28289350	28289351	19943011	hg38_H1_1815
N/A	chr10	28532354	28532355	19945441	hg38_H1_1816
BAMBI	chr10	28677494	28677495	19946892	hg38_H1_1816
N/A	chr10	28743649	28743650	19947554	hg38_H1_1816
LINC00837	chr10	28796050	28796051	19948078	hg38_H1_1816
N/A	chr10	28796050	28796051	19948078	hg38_H1_1816
N/A	chr10	28796050	28796051	19948078	hg38_H1_1816
C10ORF126	chr10	28846407	28846408	19948582	hg38_H1_1816
LYZL1	chr10	29289060	29289061	19953008	hg38_H1_1816
N/A	chr10	29409533	29409534	19954213	hg38_H1_1816
SVIL-AS1	chr10	29410242	29410243	19954220	hg38_H1_1816
N/A	chr10	29409533	29409534	19954213	hg38_H1_1816
N/A	chr10	29409533	29409534	19954213	hg38_H1_1816
N/A	chr10	29409533	29409534	19954213	hg38_H1_1816
SVIL-AS1	chr10	29409533	29409534	19954213	hg38_H1_1816
N/A	chr10	29409533	29409534	19954213	hg38_H1_1816
N/A	chr10	29409533	29409534	19954213	hg38_H1_1816
N/A	chr10	29409533	29409534	19954213	hg38_H1_1816
N/A	chr10	29409533	29409534	19954213	hg38_H1_1816
N/A	chr10	29409533	29409534	19954213	hg38_H1_1816
MIR604	chr10	29545097	29545098	19955568	hg38_H1_1817
MIR938	chr10	29602346	29602347	19956141	hg38_H1_1817
N/A	chr10	30211851	30211852	19962236	hg38_H1_1817
MTPAP	chr10	30349338	30349339	19963611	hg38_H1_1817
MIR7162	chr10	30368665	30368666	19963804	hg38_H1_1818
N/A	chr10	30371907	30371908	19963837	hg38_H1_1818
MAP3K8	chr10	30434020	30434021	19964458	hg38_H1_1818
MAP3K8	chr10	30434020	30434021	19964458	hg38_H1_1818
LYZL2	chr10	30629718	30629719	19966415	hg38_H1_1818
N/A	chr10	30692273	30692274	19967040	hg38_H1_1819
N/A	chr10	31319095	31319096	19973308	hg38_H1_1819
KIF5B	chr10	32056443	32056444	19980682	hg38_H1_1819
N/A	chr10	32347218	32347219	19983590	
EPC1	chr10	32347048	32347049	19983588	
N/A	chr10	32347363	32347364	19983591	
EPC1	chr10	32347218	32347219	19983590	
EPC1	chr10	32347218	32347219	19983590	
N/A	chr10	32347218	32347219	19983590	
N/A	chr10	32446056	32446057	19984578	hg38_H1_1820
ITGB1	chr10	32957894	32957895	19989696	hg38_H1_1820
ITGB1	chr10	32958365	32958366	19989701	hg38_H1_1820
ITGB1	chr10	32935558	32935559	19989473	hg38_H1_1820
LINC00838	chr10	33772680	33772681	19997844	hg38_H1_1820
N/A	chr10	34815767	34815768	20008275	hg38_H1_1821
CUL2	chr10	35090642	35090643	20011024	
CUL2	chr10	35090383	35090384	20011021	
MIR3611	chr10	35079680	35079681	20010914	
CUL2	chr10	35074330	35074331	20010861	
CUL2	chr10	35074330	35074331	20010861	
CREM	chr10	35195901	35195902	20012077	hg38_H1_1822
N/A	chr10	35195126	35195127	20012069	hg38_H1_1822
N/A	chr10	35195126	35195127	20012069	hg38_H1_1822
CREM	chr10	35175586	35175587	20011873	hg38_H1_1822
N/A	chr10	35175586	35175587	20011873	hg38_H1_1822
N/A	chr10	35167538	35167539	20011793	hg38_H1_1822
CREM	chr10	35167538	35167539	20011793	hg38_H1_1822
CREM	chr10	35195126	35195127	20012069	hg38_H1_1822
CREM	chr10	35195126	35195127	20012069	hg38_H1_1822
CREM	chr10	35137781	35137782	20011495	hg38_H1_1822
CREM	chr10	35137781	35137782	20011495	hg38_H1_1822
CREM	chr10	35167538	35167539	20011793	hg38_H1_1822
N/A	chr10	35167538	35167539	20011793	hg38_H1_1822
CREM	chr10	35175586	35175587	20011873	hg38_H1_1822
N/A	chr10	35175586	35175587	20011873	hg38_H1_1822
CREM	chr10	35195901	35195902	20012077	hg38_H1_1822
CREM	chr10	35195901	35195902	20012077	hg38_H1_1822
CREM	chr10	35195901	35195902	20012077	hg38_H1_1822
CREM	chr10	35127456	35127457	20011392	hg38_H1_1822
CREM	chr10	35127456	35127457	20011392	hg38_H1_1822
CREM	chr10	35195126	35195127	20012069	hg38_H1_1822
CREM	chr10	35195126	35195127	20012069	hg38_H1_1822
N/A	chr10	35195901	35195902	20012077	hg38_H1_1822
N/A	chr10	35195901	35195902	20012077	hg38_H1_1822
MIR4683	chr10	35641252	35641253	20016530	hg38_H1_1823
FZD8	chr10	35641434	35641435	20016532	hg38_H1_1823
GJD4	chr10	35605409	35605410	20016172	hg38_H1_1823
LINC00993	chr10	37309185	37309186	20033209	hg38_H1_1824
MTRNR2L7	chr10	37602931	37602932	20036147	hg38_H1_1824
ZNF248	chr10	37857636	37857637	20038694	hg38_H1_1824
ZNF248	chr10	37857636	37857637	20038694	hg38_H1_1824
ZNF248	chr10	37858084	37858085	20038698	hg38_H1_1824
ZNF248	chr10	37857636	37857637	20038694	hg38_H1_1824
N/A	chr10	37857636	37857637	20038694	hg38_H1_1824
N/A	chr10	37795175	37795176	20038069	hg38_H1_1824
ZNF25	chr10	37976525	37976526	20039883	hg38_H1_1824
ZNF37A	chr10	38094335	38094336	20041061	hg38_H1_1824
N/A	chr10	38094335	38094336	20041061	hg38_H1_1824
ZNF37A	chr10	38094335	38094336	20041061	hg38_H1_1824
N/A	chr10	38175670	38175671	20041874	hg38_H1_1824
N/A	chr10	38356379	38356380	20043681	
N/A	chr10	38402852	38402853	20044146	
N/A	chr10	38428145	38428146	20044399	
N/A	chr10	38696595	38696596	20047083	
N/A	chr10	42552870	42552871	20085646	
LINC00839	chr10	42475490	42475491	20084872	
N/A	chr10	42691759	42691760	20087035	
N/A	chr10	42691759	42691760	20087035	
N/A	chr10	42691759	42691760	20087035	
N/A	chr10	42691759	42691760	20087035	
BMS1	chr10	42782505	42782506	20087943	
LINC01264	chr10	42981507	42981508	20089933	
MIR5100	chr10	42997562	42997563	20090093	
CSGALNACT2	chr10	43138444	43138445	20091502	
RASGEF1A	chr10	43229739	43229740	20092415	hg38_H1_1825
FXYD4	chr10	43371643	43371644	20093834	hg38_H1_1825
N/A	chr10	43371643	43371644	20093834	hg38_H1_1825
HNRNPF	chr10	43397346	43397347	20094091	hg38_H1_1825
HNRNPF	chr10	43407851	43407852	20094196	hg38_H1_1825
HNRNPF	chr10	43408884	43408885	20094206	hg38_H1_1825
N/A	chr10	43409248	43409249	20094210	hg38_H1_1825
HNRNPF	chr10	43409208	43409209	20094210	hg38_H1_1825
N/A	chr10	43437125	43437126	20094489	hg38_H1_1825
HNRNPF	chr10	43396831	43396832	20094086	hg38_H1_1825
ZNF485	chr10	43606406	43606407	20096182	hg38_H1_1826
ZNF239	chr10	43574618	43574619	20095864	
ZNF239	chr10	43574618	43574619	20095864	
ZNF239	chr10	43574617	43574618	20095864	
ZNF239	chr10	43568459	43568460	20095802	
ZNF32-AS1	chr10	43643871	43643872	20096556	hg38_H1_1826
LINC00619	chr10	43845305	43845306	20098571	hg38_H1_1826
N/A	chr10	43790417	43790418	20098022	hg38_H1_1826
LINC00840	chr10	43859410	43859411	20098712	hg38_H1_1826
N/A	chr10	43909303	43909304	20099211	hg38_H1_1826
RP11-20J15.5	chr10	44292749	44292750	20103045	hg38_H1_1826
CXCL12	chr10	44385097	44385098	20103968	hg38_H1_1826
CXCL12	chr10	44385097	44385098	20103968	hg38_H1_1826
CXCL12	chr10	44385097	44385098	20103968	hg38_H1_1826
CXCL12	chr10	44385097	44385098	20103968	hg38_H1_1826
CXCL12	chr10	44385097	44385098	20103968	hg38_H1_1826
TMEM72	chr10	44911315	44911316	20109231	hg38_H1_1826
N/A	chr10	45000910	45000911	20110127	hg38_H1_1827
RASSF4	chr10	44959770	44959771	20109715	hg38_H1_1826
ZNF22	chr10	45000824	45000825	20110126	hg38_H1_1827
C10ORF10	chr10	44978882	44978883	20109906	hg38_H1_1826
N/A	chr10	45000910	45000911	20110127	hg38_H1_1827
N/A	chr10	45154661	45154662	20111664	hg38_H1_1827
MIR3156-1	chr10	45164013	45164014	20111758	hg38_H1_1827
N/A	chr10	45154596	45154597	20111663	hg38_H1_1827
OR13A1	chr10	45315608	45315609	20113274	hg38_H1_1827
ALOX5	chr10	45374175	45374176	20113859	hg38_H1_1827
ALOX5	chr10	45374175	45374176	20113859	hg38_H1_1827
RP11-67C2.2	chr10	45453121	45453122	20114649	hg38_H1_1827
N/A	chr10	45374175	45374176	20113859	hg38_H1_1827
N/A	chr10	45672813	45672814	20116846	hg38_H1_1827
ZFAND4	chr10	45672732	45672733	20116845	hg38_H1_1827
ZFAND4	chr10	45672813	45672814	20116846	hg38_H1_1827
N/A	chr10	45672732	45672733	20116845	hg38_H1_1827
N/A	chr10	45672813	45672814	20116846	hg38_H1_1827
AGAP6	chr10	45853877	45853878	20118656	
AGAP4	chr10	45847473	45847474	20118592	
N/A	chr10	45847473	45847474	20118592	
N/A	chr10	45972452	45972453	20119842	
N/A	chr10	45972452	45972453	20119842	
TIMM23	chr10	45972452	45972453	20119842	
MSMB	chr10	46046269	46046270	20120580	
MSMB	chr10	46046269	46046270	20120580	
N/A	chr10	46109494	46109495	20121212	
ANXA8L1	chr10	46375589	46375590	20123873	
ANXA8L1	chr10	46375589	46375590	20123873	
FAM25BP	chr10	46369086	46369087	20123808	
ANTXRL	chr10	46286996	46286997	20122987	
ANXA8L1	chr10	46375589	46375590	20123873	
NPY4R	chr10	46465881	46465882	20124776	
NPY4R	chr10	46465881	46465882	20124776	
N/A	chr10	46415914	46415915	20124277	
SYT15	chr10	46579015	46579016	20125908	
SYT15	chr10	46579015	46579016	20125908	
GPRIN2	chr10	46556071	46556072	20125678	
N/A	chr10	46651976	46651977	20126637	
N/A	chr10	46786770	46786771	20127985	
N/A	chr10	46876673	46876674	20128884	
PTPN20A	chr10	46932376	46932377	20129441	
GDF10	chr10	47300223	47300224	20133120	hg38_H1_1828
ZNF488	chr10	47384273	47384274	20133960	hg38_H1_1828
RBP3	chr10	47348370	47348371	20133601	hg38_H1_1828
GDF2	chr10	47322489	47322490	20133342	hg38_H1_1828
ANXA8	chr10	47484158	47484159	20134959	
N/A	chr10	47553523	47553524	20135653	
AGAP10	chr10	47523638	47523639	20135354	
ANXA8	chr10	47484158	47484159	20134959	
FAM25C	chr10	47491700	47491701	20135035	
FAM25G	chr10	47491700	47491701	20135035	
ANXA8	chr10	47484158	47484159	20134959	
N/A	chr10	47583419	47583420	20135952	
SYT15	chr10	47762793	47762794	20137745	
SYT15	chr10	47762793	47762794	20137745	
N/A	chr10	47921928	47921929	20139337	
NPY4R	chr10	47918738	47918739	20139305	
N/A	chr10	48031640	48031641	20140434	
FAM25C	chr10	47999791	47999792	20140115	
FAM25G	chr10	47999791	47999792	20140115	
N/A	chr10	48175143	48175144	20141869	hg38_H1_1829
MAPK8	chr10	48401611	48401612	20144134	hg38_H1_1829
MAPK8	chr10	48401611	48401612	20144134	hg38_H1_1829
ARHGAP22	chr10	48493649	48493650	20145054	hg38_H1_1829
MAPK8	chr10	48401611	48401612	20144134	hg38_H1_1829
MAPK8	chr10	48401611	48401612	20144134	hg38_H1_1829
MIR4294	chr10	48985587	48985588	20149973	hg38_H1_1829
LRRC18	chr10	48914235	48914236	20149260	hg38_H1_1829
FAM170B	chr10	49134020	49134021	20151458	hg38_H1_1829
FAM170B-AS1	chr10	49121838	49121839	20151336	hg38_H1_1829
VSTM4	chr10	49115532	49115533	20151273	hg38_H1_1829
C10ORF128	chr10	49188400	49188401	20152002	hg38_H1_1829
C10ORF128	chr10	49188400	49188401	20152002	hg38_H1_1829
N/A	chr10	49188400	49188401	20152002	hg38_H1_1829
C10ORF128	chr10	49188400	49188401	20152002	hg38_H1_1829
C10ORF128	chr10	49188400	49188401	20152002	hg38_H1_1829
DRGX	chr10	49396016	49396017	20154078	hg38_H1_1829
C10ORF71	chr10	49299141	49299142	20153109	hg38_H1_1829
N/A	chr10	49298893	49298894	20153106	hg38_H1_1829
ERCC6	chr10	49539123	49539124	20155509	hg38_H1_1829
ERCC6-PGBD3	chr10	49539538	49539539	20155513	hg38_H1_1829
ERCC6-PGBD3	chr10	49539123	49539124	20155509	hg38_H1_1829
PGBD3	chr10	49524281	49524282	20155360	hg38_H1_1829
N/A	chr10	49614036	49614037	20156258	
N/A	chr10	49614036	49614037	20156258	
CHAT	chr10	49613107	49613108	20156249	
CHAT	chr10	49613107	49613108	20156249	
SLC18A3	chr10	49610300	49610301	20156221	
CHAT	chr10	49614036	49614037	20156258	
CHAT	chr10	49614036	49614037	20156258	
CHAT	chr10	49609094	49609095	20156208	
OGDHL	chr10	49762379	49762380	20157741	
OGDHL	chr10	49762379	49762380	20157741	
C10ORF53	chr10	49679637	49679638	20156914	
C10ORF53	chr10	49679637	49679638	20156914	
OGDHL	chr10	49762379	49762380	20157741	
AGAP6	chr10	49988317	49988318	20160001	
N/A	chr10	49942032	49942033	20159538	
N/A	chr10	49942032	49942033	20159538	
TIMM23B	chr10	49942032	49942033	20159538	
N/A	chr10	50067803	50067804	20160796	
N/A	chr10	50624950	50624951	20166367	hg38_H1_1830
ASAH2B	chr10	50739927	50739928	20167517	hg38_H1_1830
RP11-96B5.3	chr10	51068552	51068553	20170803	hg38_H1_1830
MIR605	chr10	51299572	51299573	20173113	hg38_H1_1830
CSTF2T	chr10	51699595	51699596	20177113	hg38_H1_1830
DKK1	chr10	52314280	52314281	20183260	hg38_H1_1831
LINC01468	chr10	52455272	52455273	20184670	hg38_H1_1831
N/A	chr10	52470533	52470534	20184823	hg38_H1_1831
MBL2	chr10	52771700	52771701	20187835	
MIR548F1	chr10	54607957	54607958	20206197	hg38_H1_1832
MTRNR2L5	chr10	55598989	55598990	20216107	hg38_H1_1832
MIR3924	chr10	57304559	57304560	20233163	hg38_H1_1833
CISD1	chr10	58269101	58269102	20242809	
UBE2D1	chr10	58334978	58334979	20243467	
UBE2D1	chr10	58334978	58334979	20243467	
TFAM	chr10	58385142	58385143	20243969	
